time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 19:44:27.056462 , 17.39%, 19.58%, 63.1%, 213516288, 23415259136
2024-12-03 19:44:28.705184 , 20.81%, 15.66%, 63.52%, 210796544, 23549083648
2024-12-03 19:44:30.350258 , 18.45%, 15.58%, 65.96%, 253493248, 23316643840
2024-12-03 19:44:31.967101 , 14.28%, 15.6%, 70.11%, 217333760, 23367794688
2024-12-03 19:44:33.582581 , 13.5%, 14.34%, 72.14%, 239714304, 23287382016
2024-12-03 19:44:35.206727 , 15.8%, 14.2%, 70.17%, 83296256, 23506354176
2024-12-03 19:44:36.821680 , 13.47%, 13.88%, 72.63%, 70270976, 23502651392
2024-12-03 19:44:38.454906 , 20.31%, 14.89%, 64.79%, 185696256, 23480205312
2024-12-03 19:44:40.079329 , 26.59%, 13.53%, 59.86%, 81133568, 23542153216
2024-12-03 19:44:41.660939 , 13.21%, 13.35%, 73.42%, 78381056, 23479631872
2024-12-03 19:44:43.243676 , 12.48%, 12.69%, 74.82%, 66109440, 23609131008
2024-12-03 19:44:44.808996 , 9.71%, 12.35%, 77.92%, 57540608, 23613341696
2024-12-03 19:44:46.412311 , 12.97%, 12.55%, 74.47%, 59965440, 23524573184
2024-12-03 19:44:47.985859 , 9.95%, 12.23%, 77.8%, 62291968, 23548477440
2024-12-03 19:44:49.566586 , 11.77%, 12.48%, 75.74%, 57769984, 23533912064
2024-12-03 19:44:51.209761 , 14.12%, 13.44%, 72.43%, 203014144, 23537483776
2024-12-03 19:44:52.795723 , 12.66%, 12.66%, 74.66%, 201539584, 23541530624
2024-12-03 19:44:54.369300 , 11.3%, 13.9%, 75.87%, 198115328, 23466983424
2024-12-03 19:44:55.967271 , 14.85%, 13.73%, 71.4%, 151552000, 23484219392
2024-12-03 19:44:57.546901 , 10.1%, 12.35%, 77.62%, 155598848, 23481647104
2024-12-03 19:44:59.163384 , 18.74%, 13.34%, 67.91%, 127483904, 23580360704
2024-12-03 19:45:00.730938 , 10.45%, 12.59%, 76.95%, 148013056, 23534764032
2024-12-03 19:45:02.358138 , 21.1%, 13.49%, 65.39%, 111837184, 23586848768
2024-12-03 19:45:03.930617 , 12.59%, 12.66%, 74.73%, 100024320, 23518330880
2024-12-03 19:45:05.499861 , 10.15%, 12.44%, 77.39%, 99237888, 23506026496
2024-12-03 19:45:07.062483 , 10.5%, 12.2%, 77.74%, 91373568, 23579492352
2024-12-03 19:45:08.620091 , 10.2%, 12.42%, 77.37%, 85082112, 23586127872
2024-12-03 19:45:10.191934 , 10.32%, 12.6%, 77.6%, 81543168, 23502045184
2024-12-03 19:45:11.755764 , 10.89%, 12.61%, 76.48%, 84541440, 23504912384
2024-12-03 19:45:13.322921 , 10.22%, 12.37%, 77.39%, 83886080, 23504683008
2024-12-03 19:45:14.881276 , 10.71%, 12.66%, 76.61%, 76546048, 23589830656
2024-12-03 19:45:16.445055 , 10.23%, 12.45%, 77.3%, 83329024, 23498145792
2024-12-03 19:45:18.035406 , 12.12%, 12.55%, 75.31%, 72663040, 23530504192
2024-12-03 19:45:19.600000 , 10.36%, 12.36%, 77.26%, 86294528, 23511678976
2024-12-03 19:45:21.175341 , 12.87%, 12.51%, 74.6%, 101548032, 23578017792
2024-12-03 19:45:22.731644 , 9.9%, 12.56%, 77.53%, 107855872, 23572758528
2024-12-03 19:45:24.324144 , 15.27%, 13.43%, 71.28%, 86802432, 23530946560
2024-12-03 19:45:25.901604 , 13.95%, 13.66%, 72.38%, 74317824, 23522590720
2024-12-03 19:45:27.465822 , 13.3%, 13.37%, 73.31%, 60538880, 23527063552
2024-12-03 19:45:29.077397 , 20.2%, 13.63%, 66.34%, 134660096, 23572103168
2024-12-03 19:45:30.627959 , 10.28%, 12.39%, 77.31%, 141901824, 23570825216
2024-12-03 19:45:32.219942 , 12.96%, 13.24%, 73.78%, 145604608, 23468441600
2024-12-03 19:45:33.786344 , 10.53%, 12.46%, 77.0%, 139116544, 23460610048
2024-12-03 19:45:35.365020 , 10.94%, 13.14%, 75.9%, 136691712, 23484186624
2024-12-03 19:45:36.931451 , 9.82%, 12.54%, 77.63%, 145965056, 23567220736
2024-12-03 19:45:38.500938 , 10.63%, 12.7%, 76.65%, 141213696, 23578132480
2024-12-03 19:45:40.069249 , 10.22%, 12.44%, 77.32%, 137592832, 23479468032
