time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 19:36:43.987744 , 15.65%, 18.75%, 65.58%, 309198848, 23090233344
2024-12-03 19:36:45.647039 , 19.95%, 20.36%, 59.67%, 267173888, 23310712832
2024-12-03 19:36:47.264654 , 11.91%, 17.53%, 70.54%, 272138240, 23402823680
2024-12-03 19:36:48.864554 , 13.9%, 19.77%, 66.31%, 302481408, 23437246464
2024-12-03 19:36:50.480392 , 14.91%, 19.95%, 65.12%, 209403904, 23527276544
2024-12-03 19:36:52.056215 , 11.33%, 20.59%, 68.6%, 218464256, 23434330112
2024-12-03 19:36:53.643315 , 10.61%, 21.58%, 67.79%, 214384640, 23409836032
2024-12-03 19:36:55.264839 , 11.14%, 20.63%, 68.21%, 214171648, 23391043584
2024-12-03 19:36:56.879870 , 11.28%, 19.87%, 68.83%, 272613376, 23449993216
2024-12-03 19:36:58.480869 , 12.8%, 16.58%, 71.32%, 229277696, 23411949568
2024-12-03 19:37:00.168116 , 38.64%, 18.85%, 42.49%, 72794112, 23404642304
2024-12-03 19:37:01.760058 , 10.47%, 16.38%, 73.13%, 85491712, 23508975616
2024-12-03 19:37:03.348902 , 13.51%, 16.34%, 70.13%, 73269248, 23496081408
2024-12-03 19:37:04.921356 , 9.7%, 15.65%, 75.26%, 78807040, 23609491456
2024-12-03 19:37:06.508247 , 10.33%, 15.79%, 73.86%, 83542016, 23588536320
2024-12-03 19:37:08.089920 , 9.69%, 16.13%, 74.16%, 82558976, 23502782464
2024-12-03 19:37:09.681247 , 11.43%, 16.16%, 72.4%, 99827712, 23523229696
2024-12-03 19:37:11.262236 , 10.1%, 16.26%, 73.72%, 96796672, 23502700544
2024-12-03 19:37:12.850287 , 12.3%, 15.72%, 72.23%, 96600064, 23561568256
2024-12-03 19:37:14.499026 , 13.54%, 16.58%, 69.87%, 83755008, 23586897920
2024-12-03 19:37:16.089838 , 14.54%, 16.44%, 69.0%, 76251136, 23540596736
2024-12-03 19:37:17.674472 , 9.67%, 15.88%, 74.43%, 87474176, 23499816960
2024-12-03 19:37:19.283298 , 13.74%, 16.47%, 69.77%, 55459840, 23520935936
2024-12-03 19:37:20.869504 , 11.9%, 16.44%, 71.65%, 73138176, 23561453568
2024-12-03 19:37:22.443319 , 10.81%, 16.35%, 72.83%, 77021184, 23559553024
2024-12-03 19:37:24.103802 , 28.0%, 18.62%, 53.37%, 82673664, 23490150400
2024-12-03 19:37:25.695653 , 10.27%, 16.32%, 73.39%, 85966848, 23445602304
2024-12-03 19:37:27.282311 , 11.26%, 12.96%, 75.76%, 80642048, 23464656896
2024-12-03 19:37:28.837561 , 9.87%, 12.25%, 77.86%, 88391680, 23573463040
2024-12-03 19:37:30.413401 , 10.96%, 12.66%, 76.37%, 88604672, 23489052672
2024-12-03 19:37:31.973566 , 10.32%, 12.9%, 76.77%, 98385920, 23480991744
2024-12-03 19:37:33.556107 , 15.15%, 13.31%, 71.52%, 101744640, 23399383040
2024-12-03 19:37:35.117938 , 10.2%, 12.64%, 77.15%, 100204544, 23556833280
2024-12-03 19:37:36.687157 , 11.15%, 12.72%, 76.12%, 86409216, 23578116096
2024-12-03 19:37:38.257997 , 10.43%, 12.36%, 77.19%, 84541440, 23579967488
2024-12-03 19:37:39.837057 , 12.14%, 12.71%, 75.14%, 77365248, 23488593920
2024-12-03 19:37:41.421736 , 10.96%, 12.8%, 76.22%, 71254016, 23489806336
2024-12-03 19:37:42.990680 , 12.77%, 12.56%, 74.66%, 77119488, 23588323328
2024-12-03 19:37:44.542834 , 10.12%, 12.43%, 77.44%, 79314944, 23584440320
2024-12-03 19:37:46.143857 , 16.35%, 13.13%, 70.51%, 74563584, 23517151232
2024-12-03 19:37:47.719846 , 10.58%, 12.65%, 76.75%, 74596352, 23505108992
2024-12-03 19:37:49.341163 , 19.4%, 13.95%, 66.64%, 63275008, 23510417408
2024-12-03 19:37:50.937871 , 12.63%, 13.75%, 73.61%, 73400320, 23580180480
2024-12-03 19:37:52.494363 , 9.84%, 12.51%, 77.64%, 62767104, 23586291712
2024-12-03 19:37:54.058952 , 10.25%, 12.48%, 77.25%, 63930368, 23503634432
2024-12-03 19:37:55.626699 , 10.2%, 12.71%, 77.8%, 126304256, 23495409664
2024-12-03 19:37:57.199224 , 10.83%, 13.32%, 75.83%, 137052160, 23540318208
2024-12-03 19:37:58.764639 , 9.6%, 12.25%, 78.13%, 128024576, 23554916352
2024-12-03 19:38:00.327871 , 10.5%, 12.34%, 77.6%, 120242176, 23455678464
2024-12-03 19:38:01.910335 , 11.37%, 13.35%, 75.26%, 127713280, 23097131008
2024-12-03 19:38:03.476958 , 11.95%, 12.95%, 75.8%, 102268928, 23302782976
2024-12-03 19:38:05.050404 , 11.9%, 12.38%, 76.52%, 115032064, 23557406720
2024-12-03 19:38:06.605666 , 9.54%, 12.14%, 78.3%, 123682816, 23552966656
2024-12-03 19:38:08.196707 , 13.66%, 13.9%, 73.23%, 126582784, 23467966464
2024-12-03 19:38:09.761897 , 9.93%, 12.36%, 77.69%, 119144448, 23469801472
2024-12-03 19:38:11.360478 , 14.96%, 13.14%, 71.89%, 119422976, 23463870464
2024-12-03 19:38:12.912049 , 10.16%, 12.32%, 77.5%, 141950976, 23544954880
2024-12-03 19:38:14.471447 , 9.64%, 12.45%, 77.89%, 131252224, 23559389184
2024-12-03 19:38:16.094376 , 20.65%, 14.56%, 64.77%, 114442240, 23464230912
2024-12-03 19:38:17.660176 , 10.15%, 12.58%, 77.26%, 122372096, 23456972800
2024-12-03 19:38:19.227220 , 9.97%, 12.49%, 77.53%, 134266880, 23458414592
2024-12-03 19:38:20.787161 , 9.89%, 12.41%, 77.69%, 138084352, 23547674624
2024-12-03 19:38:22.355349 , 10.35%, 12.35%, 77.28%, 141459456, 23542185984
