time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 21:41:01.275168 , 20.59%, 17.26%, 62.13%, 174276608, 22767075328
2024-12-03 21:41:02.877683 , 17.4%, 15.1%, 67.57%, 258490368, 22667771904
2024-12-03 21:41:04.525203 , 19.71%, 17.94%, 62.33%, 179601408, 22606413824
2024-12-03 21:41:06.192480 , 22.92%, 18.63%, 58.44%, 102580224, 22466445312
2024-12-03 21:41:07.845705 , 21.3%, 17.6%, 61.89%, 123600896, 22711353344
2024-12-03 21:41:09.502692 , 25.38%, 17.94%, 56.66%, 71237632, 22669787136
2024-12-03 21:41:11.220038 , 41.83%, 20.7%, 38.8%, 63586304, 22762831872
2024-12-03 21:41:12.850180 , 18.79%, 16.3%, 65.16%, 73498624, 22841507840
2024-12-03 21:41:14.467691 , 19.73%, 14.87%, 65.39%, 68157440, 22792110080
2024-12-03 21:41:16.140721 , 20.38%, 16.77%, 62.83%, 61292544, 22754607104
2024-12-03 21:41:17.793107 , 19.85%, 15.51%, 64.63%, 95633408, 22642229248
2024-12-03 21:41:19.420681 , 18.42%, 15.34%, 66.23%, 94814208, 22768435200
2024-12-03 21:41:20.999124 , 17.29%, 13.46%, 69.24%, 285032448, 22949445632
2024-12-03 21:41:22.605633 , 16.49%, 14.67%, 68.83%, 104087552, 22852665344
2024-12-03 21:41:24.239519 , 21.18%, 15.3%, 63.77%, 90079232, 22768386048
2024-12-03 21:41:25.904834 , 19.86%, 15.83%, 64.29%, 135806976, 22678470656
2024-12-03 21:41:27.578109 , 25.15%, 16.9%, 58.75%, 121110528, 22710714368
2024-12-03 21:41:29.223672 , 17.74%, 15.22%, 67.3%, 72187904, 22828220416
2024-12-03 21:41:30.903159 , 28.8%, 16.36%, 54.82%, 123961344, 22818717696
2024-12-03 21:41:32.583569 , 23.71%, 18.16%, 58.12%, 126992384, 22235807744
2024-12-03 21:41:34.253087 , 25.43%, 15.81%, 58.74%, 95846400, 22572400640
2024-12-03 21:41:35.882351 , 22.69%, 15.58%, 61.72%, 113164288, 22550265856
2024-12-03 21:41:37.481980 , 15.3%, 14.46%, 70.22%, 334643200, 22536830976
2024-12-03 21:41:39.066116 , 15.11%, 14.26%, 70.62%, 368623616, 22634889216
2024-12-03 21:41:40.653190 , 14.62%, 14.69%, 70.67%, 451493888, 22556852224
2024-12-03 21:41:42.258348 , 16.87%, 14.5%, 68.61%, 457670656, 22444605440
2024-12-03 21:41:43.862240 , 16.34%, 15.36%, 68.29%, 468582400, 22438002688
2024-12-03 21:41:45.452382 , 14.91%, 14.98%, 70.9%, 457900032, 22444818432
2024-12-03 21:41:47.059627 , 16.27%, 15.71%, 68.1%, 208977920, 22539812864
2024-12-03 21:41:48.685819 , 18.44%, 15.69%, 65.86%, 115900416, 22520102912
2024-12-03 21:41:50.403177 , 24.56%, 17.21%, 58.21%, 97943552, 22504980480
2024-12-03 21:41:52.063623 , 18.77%, 16.61%, 64.61%, 99663872, 22177218560
2024-12-03 21:41:53.719829 , 19.89%, 17.59%, 62.5%, 123371520, 22426763264
2024-12-03 21:41:55.321318 , 14.55%, 15.32%, 70.12%, 90898432, 22428811264
2024-12-03 21:41:56.927344 , 18.67%, 14.47%, 66.85%, 318275584, 22422945792
2024-12-03 21:41:58.525749 , 17.4%, 14.4%, 68.55%, 256638976, 22656434176
2024-12-03 21:42:00.122152 , 15.8%, 13.69%, 70.5%, 284262400, 22472572928
2024-12-03 21:42:01.770629 , 27.74%, 14.74%, 57.51%, 180797440, 22598746112
2024-12-03 21:42:03.373626 , 15.73%, 14.26%, 70.0%, 114409472, 22634512384
2024-12-03 21:42:04.982281 , 15.38%, 14.48%, 70.12%, 78151680, 22576234496
2024-12-03 21:42:06.612977 , 17.51%, 16.14%, 66.34%, 151568384, 22506913792
2024-12-03 21:42:08.234668 , 18.43%, 14.3%, 67.26%, 97337344, 22517448704
2024-12-03 21:42:09.850414 , 16.83%, 15.17%, 67.98%, 79560704, 22560194560
2024-12-03 21:42:11.513119 , 17.54%, 17.41%, 65.3%, 78577664, 22472704000
2024-12-03 21:42:13.190969 , 18.6%, 17.8%, 63.58%, 53805056, 22514417664
2024-12-03 21:42:14.799533 , 14.59%, 15.7%, 70.32%, 102219776, 22503882752
2024-12-03 21:42:16.436846 , 15.44%, 14.48%, 70.6%, 126140416, 22450290688
2024-12-03 21:42:18.035451 , 11.87%, 13.54%, 74.58%, 98992128, 22536273920
2024-12-03 21:42:19.665678 , 14.8%, 14.6%, 70.59%, 139264000, 22368583680
2024-12-03 21:42:21.276364 , 13.29%, 14.5%, 72.64%, 102252544, 22546219008
2024-12-03 21:42:22.894614 , 13.52%, 14.42%, 72.5%, 113704960, 22479503360
2024-12-03 21:42:24.537148 , 19.11%, 15.23%, 65.64%, 92487680, 22597681152
2024-12-03 21:42:26.169804 , 14.69%, 15.65%, 69.64%, 195903488, 22376284160
2024-12-03 21:42:27.887392 , 29.69%, 17.62%, 52.67%, 225083392, 22396305408
2024-12-03 21:42:29.530157 , 14.28%, 14.9%, 70.81%, 181895168, 22375481344
2024-12-03 21:42:31.142353 , 11.9%, 13.64%, 74.44%, 175505408, 22566207488
2024-12-03 21:42:32.754919 , 12.48%, 14.22%, 73.29%, 179421184, 22485762048
2024-12-03 21:42:34.373488 , 13.2%, 14.17%, 72.61%, 79953920, 22633824256
2024-12-03 21:42:35.993226 , 12.94%, 14.11%, 72.94%, 81215488, 22503342080
2024-12-03 21:42:37.637730 , 15.73%, 15.19%, 69.7%, 45318144, 22437920768
2024-12-03 21:42:39.265236 , 12.88%, 14.19%, 72.91%, 169132032, 22529523712
2024-12-03 21:42:40.898740 , 13.83%, 14.38%, 71.78%, 163807232, 22477733888
2024-12-03 21:42:42.528708 , 12.93%, 14.17%, 72.88%, 180928512, 22439493632
2024-12-03 21:42:44.188728 , 16.59%, 15.45%, 67.94%, 153485312, 22390652928
2024-12-03 21:42:45.807781 , 13.55%, 14.24%, 72.19%, 152010752, 22400352256
2024-12-03 21:42:47.458548 , 16.39%, 15.44%, 68.15%, 148717568, 22406086656
2024-12-03 21:42:49.074167 , 12.29%, 13.75%, 73.95%, 162791424, 22552936448
2024-12-03 21:42:50.772812 , 20.39%, 15.39%, 64.21%, 91602944, 22567075840
2024-12-03 21:42:52.403624 , 12.74%, 14.25%, 73.0%, 115785728, 22558982144
2024-12-03 21:42:54.090756 , 21.49%, 16.2%, 62.3%, 116621312, 22400417792
2024-12-03 21:42:55.747545 , 18.8%, 16.37%, 64.82%, 104841216, 22203678720
2024-12-03 21:42:57.398379 , 14.94%, 15.75%, 69.3%, 119488512, 22423240704
2024-12-03 21:42:59.038419 , 14.27%, 14.89%, 70.83%, 104054784, 22481960960
