time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-11-30 20:23:38.289349 , 14.81%, 15.19%, 69.99%, 493174784, 30027644928
2024-11-30 20:23:39.505254 , 14.43%, 15.57%, 69.99%, 548126720, 29854728192
2024-11-30 20:23:40.715286 , 13.43%, 14.68%, 71.88%, 505331712, 30019092480
2024-11-30 20:23:41.901330 , 9.92%, 13.6%, 77.1%, 515112960, 30056415232
2024-11-30 20:23:43.162613 , 18.23%, 13.58%, 68.18%, 503824384, 30100144128
2024-11-30 20:23:44.374926 , 9.1%, 12.46%, 78.42%, 492077056, 30067294208
2024-11-30 20:23:45.631890 , 29.75%, 17.19%, 53.4%, 503676928, 30074306560
2024-11-30 20:23:46.909048 , 43.6%, 16.48%, 39.9%, 142000128, 30066704384
2024-11-30 20:23:48.139444 , 13.74%, 15.16%, 71.9%, 159301632, 30255267840
2024-11-30 20:23:49.321848 , 7.36%, 11.59%, 81.4%, 172457984, 30516084736
2024-11-30 20:23:50.497883 , 10.3%, 11.79%, 77.89%, 162004992, 30523588608
2024-11-30 20:23:51.674363 , 11.37%, 12.35%, 76.27%, 163971072, 30475698176
2024-11-30 20:23:52.857889 , 9.94%, 11.51%, 78.54%, 154501120, 30465818624
2024-11-30 20:23:54.029752 , 6.13%, 10.88%, 82.98%, 156024832, 30455971840
2024-11-30 20:23:55.235819 , 9.61%, 11.92%, 78.46%, 139771904, 30476419072
2024-11-30 20:23:56.427020 , 10.99%, 11.47%, 77.52%, 119799808, 30483349504
2024-11-30 20:23:57.603928 , 6.96%, 11.24%, 81.79%, 129417216, 30519918592
2024-11-30 20:23:58.783950 , 7.38%, 11.51%, 81.1%, 100270080, 30503288832
2024-11-30 20:23:59.987133 , 14.32%, 11.92%, 73.75%, 73940992, 30516068352
2024-11-30 20:24:01.164029 , 8.43%, 13.44%, 78.11%, 68272128, 30465277952
2024-11-30 20:24:02.360648 , 16.3%, 12.82%, 71.13%, 59031552, 30528094208
2024-11-30 20:24:03.550825 , 21.83%, 12.57%, 65.59%, 75251712, 30471340032
2024-11-30 20:24:04.728037 , 8.13%, 11.37%, 80.49%, 73793536, 30513102848
2024-11-30 20:24:05.914535 , 9.74%, 11.71%, 78.54%, 64028672, 30522966016
2024-11-30 20:24:07.190040 , 26.5%, 13.29%, 60.64%, 77496320, 30514233344
2024-11-30 20:24:08.365846 , 6.38%, 11.19%, 82.41%, 75333632, 30513463296
2024-11-30 20:24:09.573850 , 10.8%, 15.75%, 74.15%, 71090176, 30516756480
2024-11-30 20:24:10.756221 , 7.63%, 11.44%, 80.91%, 77332480, 30511693824
2024-11-30 20:24:11.931877 , 6.2%, 10.85%, 83.11%, 85131264, 30508056576
2024-11-30 20:24:13.120893 , 7.3%, 11.14%, 81.81%, 84492288, 30508089344
2024-11-30 20:24:14.296081 , 5.9%, 11.12%, 82.97%, 92962816, 30503501824
2024-11-30 20:24:15.468695 , 6.3%, 10.78%, 83.18%, 94928896, 30501830656
2024-11-30 20:24:16.652315 , 7.38%, 11.12%, 81.49%, 92307456, 30502076416
2024-11-30 20:24:17.824241 , 5.74%, 10.9%, 83.34%, 81903616, 30508974080
2024-11-30 20:24:19.008658 , 8.5%, 11.29%, 80.64%, 74334208, 30514233344
2024-11-30 20:24:20.189470 , 7.45%, 11.28%, 81.25%, 72581120, 30515183616
2024-11-30 20:24:21.366510 , 5.84%, 11.18%, 82.97%, 84672512, 30509776896
2024-11-30 20:24:22.563177 , 11.49%, 11.78%, 76.71%, 81379328, 30512857088
2024-11-30 20:24:23.742875 , 6.69%, 11.71%, 81.59%, 53985280, 30523359232
2024-11-30 20:24:24.922031 , 6.29%, 10.92%, 82.77%, 58114048, 30520868864
2024-11-30 20:24:26.132925 , 14.17%, 12.26%, 73.56%, 68911104, 30517510144
2024-11-30 20:24:27.304338 , 6.78%, 11.5%, 81.71%, 57622528, 30522834944
2024-11-30 20:24:28.526728 , 11.99%, 12.84%, 75.16%, 115900416, 30489231360
2024-11-30 20:24:29.763698 , 23.37%, 13.63%, 62.98%, 78757888, 30506926080
2024-11-30 20:24:30.940990 , 6.94%, 12.79%, 80.25%, 91439104, 30490198016
2024-11-30 20:24:32.129242 , 7.6%, 11.7%, 80.68%, 93798400, 30496653312
2024-11-30 20:24:33.300829 , 5.81%, 11.42%, 82.75%, 96436224, 30496800768
2024-11-30 20:24:34.486753 , 6.36%, 10.87%, 82.76%, 115539968, 30497505280
2024-11-30 20:24:35.672551 , 6.66%, 11.16%, 82.17%, 117145600, 30499733504
2024-11-30 20:24:36.851130 , 6.31%, 11.4%, 82.64%, 119717888, 30498947072
2024-11-30 20:24:38.029278 , 6.5%, 11.13%, 82.36%, 120782848, 30500159488
2024-11-30 20:24:39.207479 , 6.91%, 11.15%, 81.93%, 118800384, 30499897344
2024-11-30 20:24:40.389861 , 9.1%, 11.66%, 79.31%, 117571584, 30499864576
2024-11-30 20:24:41.574921 , 6.64%, 10.74%, 82.61%, 116539392, 30499520512
2024-11-30 20:24:42.756924 , 7.38%, 11.23%, 81.37%, 124715008, 30494228480
2024-11-30 20:24:43.932580 , 5.53%, 11.17%, 83.28%, 133021696, 30491852800
2024-11-30 20:24:45.131615 , 9.89%, 11.73%, 78.37%, 131596288, 30489624576
2024-11-30 20:24:46.307975 , 6.25%, 11.11%, 82.63%, 140705792, 30485544960
2024-11-30 20:24:47.484492 , 5.89%, 11.1%, 83.8%, 139526144, 30485004288
2024-11-30 20:24:48.698944 , 14.12%, 12.78%, 73.9%, 139165696, 30485364736
2024-11-30 20:24:49.877949 , 8.8%, 10.94%, 80.96%, 140263424, 30485856256
2024-11-30 20:24:51.057135 , 6.98%, 11.61%, 81.39%, 138264576, 30487396352
2024-11-30 20:24:52.290154 , 21.67%, 13.47%, 64.84%, 127352832, 30426431488
2024-11-30 20:24:53.466295 , 10.21%, 12.47%, 77.3%, 123879424, 30446944256
2024-11-30 20:24:54.648648 , 6.73%, 11.51%, 81.75%, 123355136, 30477041664
2024-11-30 20:24:55.887766 , 13.9%, 12.7%, 74.83%, 100188160, 30475190272
2024-11-30 20:24:57.068072 , 6.58%, 11.3%, 82.1%, 100433920, 30493048832
2024-11-30 20:24:58.251580 , 6.17%, 11.16%, 82.66%, 99205120, 30485151744
2024-11-30 20:24:59.434448 , 9.25%, 11.12%, 79.62%, 112476160, 30475485184
2024-11-30 20:25:00.612203 , 7.48%, 11.9%, 80.61%, 137445376, 30454497280
2024-11-30 20:25:01.782186 , 6.75%, 12.81%, 80.43%, 140656640, 30473027584
2024-11-30 20:25:02.951470 , 12.81%, 12.31%, 74.87%, 139722752, 30470701056
2024-11-30 20:25:04.147377 , 8.56%, 11.38%, 80.5%, 143081472, 30469586944
2024-11-30 20:25:05.325208 , 8.7%, 11.51%, 80.41%, 143785984, 30456594432
2024-11-30 20:25:06.496685 , 6.75%, 10.73%, 82.5%, 147062784, 30451220480
2024-11-30 20:25:07.666348 , 6.3%, 10.97%, 82.98%, 147324928, 30450974720
2024-11-30 20:25:08.855067 , 9.4%, 11.94%, 78.64%, 144834560, 30452449280
2024-11-30 20:25:10.025021 , 5.78%, 10.67%, 83.53%, 146096128, 30452727808
2024-11-30 20:25:11.203785 , 7.1%, 11.25%, 81.63%, 142032896, 30453989376
2024-11-30 20:25:12.389470 , 11.63%, 12.21%, 76.14%, 147685376, 30488150016
2024-11-30 20:25:13.558157 , 5.66%, 10.83%, 83.49%, 147062784, 30468636672
2024-11-30 20:25:14.736559 , 6.64%, 11.3%, 82.4%, 147259392, 30468816896
2024-11-30 20:25:15.935476 , 16.0%, 13.4%, 70.58%, 140230656, 30471258112
2024-11-30 20:25:17.106613 , 6.27%, 11.25%, 82.47%, 141672448, 30470586368
2024-11-30 20:25:18.282244 , 6.34%, 10.91%, 82.73%, 150355968, 30466113536
2024-11-30 20:25:19.452250 , 5.66%, 10.92%, 83.41%, 149143552, 30466162688
2024-11-30 20:25:20.630593 , 7.4%, 11.45%, 81.14%, 154648576, 30464819200
2024-11-30 20:25:21.803895 , 6.23%, 10.88%, 82.88%, 154042368, 30464638976
2024-11-30 20:25:22.977227 , 6.53%, 11.38%, 82.7%, 153829376, 30464655360
