time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 19:22:46.472203 , 18.53%, 13.84%, 67.62%, 693354496, 23077240832
2024-12-03 19:22:48.031238 , 10.31%, 12.47%, 77.21%, 701825024, 22988488704
2024-12-03 19:22:49.690142 , 19.36%, 13.4%, 67.23%, 674365440, 23004856320
2024-12-03 19:22:51.333808 , 21.66%, 17.12%, 61.2%, 592625664, 23040147456
2024-12-03 19:22:52.886032 , 9.18%, 12.29%, 78.52%, 605290496, 23119347712
2024-12-03 19:22:54.449690 , 11.3%, 12.47%, 76.49%, 592609280, 23051321344
2024-12-03 19:22:56.015907 , 10.38%, 13.53%, 76.7%, 577470464, 23066607616
2024-12-03 19:22:57.578054 , 10.43%, 12.72%, 76.84%, 578158592, 23055646720
2024-12-03 19:22:59.136397 , 10.12%, 12.63%, 77.24%, 586530816, 23135240192
2024-12-03 19:23:00.689525 , 10.24%, 12.62%, 77.12%, 572784640, 23055171584
2024-12-03 19:23:02.248312 , 10.36%, 12.38%, 77.24%, 573292544, 23057842176
2024-12-03 19:23:03.815925 , 12.2%, 12.88%, 75.8%, 566345728, 23056105472
2024-12-03 19:23:05.376505 , 9.98%, 12.42%, 77.58%, 582565888, 23043211264
2024-12-03 19:23:06.934605 , 10.79%, 12.44%, 76.76%, 575651840, 23138598912
2024-12-03 19:23:08.503896 , 13.64%, 13.57%, 72.78%, 626573312, 23056400384
2024-12-03 19:23:10.084193 , 12.7%, 13.12%, 74.16%, 581877760, 23074160640
2024-12-03 19:23:11.644467 , 13.2%, 13.13%, 73.65%, 581255168, 22949740544
2024-12-03 19:23:13.249762 , 17.3%, 13.6%, 69.8%, 565919744, 23040589824
2024-12-03 19:23:14.798498 , 9.63%, 12.9%, 78.27%, 577978368, 23136632832
2024-12-03 19:23:16.420864 , 19.65%, 14.15%, 66.18%, 552353792, 23150510080
2024-12-03 19:23:17.977192 , 10.8%, 12.31%, 77.59%, 550879232, 23070441472
2024-12-03 19:23:19.556084 , 14.12%, 13.34%, 72.53%, 540491776, 23058415616
2024-12-03 19:23:21.110532 , 10.34%, 12.73%, 76.91%, 516734976, 23121084416
2024-12-03 19:23:22.665103 , 10.2%, 12.59%, 77.2%, 519962624, 23158226944
2024-12-03 19:23:24.227404 , 10.88%, 12.6%, 76.5%, 511524864, 23076536320
2024-12-03 19:23:25.795325 , 10.44%, 12.87%, 76.68%, 506511360, 23102242816
2024-12-03 19:23:27.354018 , 13.63%, 12.63%, 73.72%, 504397824, 23095656448
2024-12-03 19:23:28.902212 , 19.21%, 11.92%, 68.85%, 500498432, 23177625600
2024-12-03 19:23:30.457768 , 20.0%, 12.15%, 67.84%, 499646464, 23179231232
2024-12-03 19:23:32.035590 , 21.32%, 12.12%, 66.54%, 652623872, 23031922688
2024-12-03 19:23:33.598724 , 19.67%, 12.58%, 67.73%, 635879424, 23034134528
2024-12-03 19:23:35.182756 , 23.23%, 12.35%, 64.4%, 771735552, 23045455872
2024-12-03 19:23:36.735313 , 12.37%, 12.1%, 75.61%, 827539456, 23022026752
2024-12-03 19:23:38.326798 , 14.94%, 13.89%, 71.15%, 662110208, 23048454144
2024-12-03 19:23:39.881206 , 11.98%, 12.63%, 75.37%, 657195008, 23027466240
2024-12-03 19:23:41.456641 , 12.4%, 12.82%, 75.12%, 600408064, 23071703040
2024-12-03 19:23:43.054036 , 15.65%, 13.96%, 70.38%, 473825280, 23188766720
2024-12-03 19:23:44.618782 , 10.1%, 12.51%, 77.46%, 468566016, 23193632768
2024-12-03 19:23:46.181501 , 10.1%, 12.32%, 77.57%, 463093760, 23107518464
2024-12-03 19:23:47.745670 , 10.17%, 12.24%, 77.57%, 472596480, 23130210304
2024-12-03 19:23:49.309464 , 9.91%, 12.35%, 77.72%, 469598208, 23095705600
