time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 19:40:31.069246 , 16.59%, 16.31%, 67.8%, 286818304, 23153410048
2024-12-03 19:40:32.727342 , 20.33%, 16.72%, 62.94%, 288456704, 23359520768
2024-12-03 19:40:34.344697 , 15.85%, 16.34%, 67.79%, 284737536, 23349198848
2024-12-03 19:40:36.031898 , 38.34%, 18.14%, 43.5%, 152846336, 23400022016
2024-12-03 19:40:37.640888 , 20.43%, 15.14%, 64.41%, 85049344, 23449681920
2024-12-03 19:40:39.207637 , 10.34%, 12.91%, 76.73%, 65634304, 23578214400
2024-12-03 19:40:40.790730 , 12.98%, 12.91%, 74.9%, 60440576, 23587602432
2024-12-03 19:40:42.378505 , 12.1%, 13.8%, 74.9%, 65077248, 23577444352
2024-12-03 19:40:43.968485 , 11.91%, 12.55%, 75.52%, 74006528, 23507812352
2024-12-03 19:40:45.538158 , 9.79%, 12.3%, 77.89%, 77627392, 23480926208
2024-12-03 19:40:47.131353 , 15.17%, 12.77%, 72.5%, 77168640, 23556751360
2024-12-03 19:40:48.702047 , 9.93%, 12.72%, 77.34%, 92438528, 23552573440
2024-12-03 19:40:50.330039 , 14.96%, 13.38%, 71.65%, 68714496, 23502995456
2024-12-03 19:40:51.911988 , 10.85%, 12.77%, 76.36%, 66617344, 23479009280
2024-12-03 19:40:53.500088 , 12.85%, 12.99%, 74.15%, 62750720, 23466967040
2024-12-03 19:40:55.054993 , 9.45%, 12.19%, 78.35%, 76120064, 23538335744
2024-12-03 19:40:56.653461 , 17.58%, 14.22%, 68.18%, 84246528, 23520985088
2024-12-03 19:40:58.235596 , 11.8%, 13.21%, 74.98%, 96043008, 23452467200
2024-12-03 19:40:59.879387 , 23.77%, 13.79%, 62.43%, 51068928, 23461429248
2024-12-03 19:41:01.536824 , 10.37%, 12.58%, 77.3%, 89784320, 23421878272
2024-12-03 19:41:03.140368 , 13.84%, 12.57%, 73.58%, 91455488, 23518478336
2024-12-03 19:41:04.747132 , 13.16%, 12.68%, 74.15%, 92766208, 23517970432
2024-12-03 19:41:06.315212 , 10.46%, 12.4%, 77.13%, 92553216, 23431888896
2024-12-03 19:41:07.883521 , 10.34%, 12.7%, 76.94%, 99598336, 23429611520
2024-12-03 19:41:09.455227 , 10.77%, 12.56%, 76.65%, 86573056, 23443963904
2024-12-03 19:41:11.021453 , 9.67%, 12.17%, 78.15%, 90947584, 23529390080
2024-12-03 19:41:12.595939 , 11.53%, 12.59%, 75.87%, 92831744, 23533420544
2024-12-03 19:41:14.160603 , 10.26%, 12.77%, 76.95%, 81985536, 23452745728
2024-12-03 19:41:15.745267 , 11.51%, 12.65%, 75.83%, 80347136, 23452860416
2024-12-03 19:41:17.312437 , 10.12%, 12.34%, 77.53%, 90013696, 23445422080
2024-12-03 19:41:18.894388 , 12.77%, 12.77%, 74.45%, 112279552, 23521804288
2024-12-03 19:41:20.459431 , 10.9%, 12.59%, 77.3%, 147603456, 23499948032
2024-12-03 19:41:22.064899 , 17.13%, 13.37%, 69.49%, 163381248, 23429906432
2024-12-03 19:41:23.634547 , 10.28%, 12.42%, 77.28%, 151502848, 23420125184
2024-12-03 19:41:25.255786 , 18.52%, 13.47%, 68.0%, 135151616, 23506976768
2024-12-03 19:41:26.816167 , 11.59%, 13.53%, 74.87%, 147980288, 23503192064
2024-12-03 19:41:28.406249 , 14.2%, 13.81%, 72.16%, 120029184, 23339008000
2024-12-03 19:41:29.993550 , 11.57%, 12.77%, 75.65%, 121536512, 23400480768
2024-12-03 19:41:31.567221 , 11.78%, 13.6%, 75.14%, 122994688, 23389569024
2024-12-03 19:41:33.137995 , 10.34%, 12.57%, 77.8%, 128417792, 23511318528
2024-12-03 19:41:34.709347 , 11.2%, 12.91%, 75.87%, 112820224, 23519215616
2024-12-03 19:41:36.275847 , 10.9%, 12.45%, 77.45%, 120422400, 23426777088
2024-12-03 19:41:37.872003 , 14.74%, 13.25%, 72.0%, 176029696, 23326834688
2024-12-03 19:41:39.441407 , 10.58%, 12.73%, 76.68%, 121896960, 23397433344
2024-12-03 19:41:41.023234 , 11.25%, 12.52%, 76.22%, 127369216, 23513530368
2024-12-03 19:41:42.586735 , 10.92%, 12.58%, 76.49%, 131186688, 23505600512
2024-12-03 19:41:44.163608 , 14.12%, 13.2%, 72.67%, 114475008, 23454269440
2024-12-03 19:41:45.730960 , 10.9%, 12.67%, 77.23%, 112820224, 23427973120
2024-12-03 19:41:47.335588 , 13.85%, 12.79%, 73.34%, 113229824, 23429480448
2024-12-03 19:41:48.886399 , 10.67%, 12.47%, 76.85%, 102711296, 23526653952
2024-12-03 19:41:50.530203 , 14.46%, 13.2%, 72.51%, 61751296, 23540908032
2024-12-03 19:41:52.152664 , 21.52%, 14.44%, 64.3%, 111640576, 23384735744
2024-12-03 19:41:53.720021 , 10.22%, 12.43%, 77.34%, 114130944, 23448403968
2024-12-03 19:41:55.285716 , 10.9%, 12.31%, 77.59%, 125255680, 23509630976
2024-12-03 19:41:56.846012 , 9.69%, 13.43%, 76.86%, 132317184, 23502880768
2024-12-03 19:41:58.434822 , 11.73%, 13.36%, 74.89%, 127844352, 23520362496
2024-12-03 19:42:00.001029 , 9.91%, 12.28%, 77.8%, 132628480, 23437230080
2024-12-03 19:42:01.573874 , 10.84%, 12.55%, 76.6%, 139739136, 23401136128
2024-12-03 19:42:03.140877 , 11.82%, 13.18%, 74.98%, 144424960, 23295082496
2024-12-03 19:42:04.706837 , 10.76%, 12.84%, 76.38%, 129351680, 23498457088
2024-12-03 19:42:06.271731 , 9.97%, 13.6%, 76.95%, 124305408, 23431004160
2024-12-03 19:42:07.847165 , 12.15%, 13.5%, 74.34%, 134742016, 23445667840
2024-12-03 19:42:09.411824 , 10.3%, 12.66%, 77.3%, 127942656, 23436083200
2024-12-03 19:42:10.983260 , 12.46%, 12.67%, 74.85%, 123633664, 23519756288
2024-12-03 19:42:12.555863 , 10.99%, 12.63%, 76.37%, 135217152, 23517315072
2024-12-03 19:42:14.152761 , 15.71%, 13.82%, 70.46%, 135823360, 23426809856
2024-12-03 19:42:15.719279 , 10.55%, 12.63%, 76.81%, 129482752, 23432822784
2024-12-03 19:42:17.334989 , 17.76%, 13.87%, 68.35%, 135348224, 23403053056
2024-12-03 19:42:18.889613 , 9.96%, 12.2%, 77.83%, 127631360, 23518740480
2024-12-03 19:42:20.460109 , 10.49%, 12.49%, 77.1%, 131350528, 23515578368
2024-12-03 19:42:22.020841 , 10.6%, 12.43%, 77.49%, 132956160, 23427432448
2024-12-03 19:42:23.590986 , 11.14%, 13.0%, 75.85%, 132513792, 23438852096
2024-12-03 19:42:25.149983 , 9.66%, 12.4%, 77.92%, 112427008, 23515758592
2024-12-03 19:42:26.715449 , 10.9%, 13.9%, 76.8%, 115605504, 23519182848
2024-12-03 19:42:28.302681 , 14.84%, 13.71%, 71.44%, 110886912, 23372103680
2024-12-03 19:42:29.876609 , 11.42%, 13.34%, 75.23%, 109936640, 23432691712
2024-12-03 19:42:31.449892 , 11.53%, 13.23%, 75.23%, 156925952, 23349854208
2024-12-03 19:42:33.021092 , 11.96%, 12.82%, 75.21%, 114098176, 23492526080
2024-12-03 19:42:34.586138 , 9.95%, 12.24%, 77.79%, 104710144, 23515414528
2024-12-03 19:42:36.169601 , 12.6%, 12.77%, 75.15%, 106807296, 23430725632
2024-12-03 19:42:37.736682 , 10.77%, 12.63%, 76.58%, 107905024, 23429021696
2024-12-03 19:42:39.384500 , 19.85%, 14.22%, 65.92%, 102449152, 23352213504
2024-12-03 19:42:40.942654 , 9.63%, 12.5%, 77.85%, 105267200, 23497359360
2024-12-03 19:42:42.516973 , 10.6%, 12.32%, 77.6%, 108314624, 23528603648
2024-12-03 19:42:44.128825 , 17.54%, 14.49%, 67.96%, 121389056, 23444832256
2024-12-03 19:42:45.683484 , 10.1%, 12.39%, 77.59%, 117571584, 23441686528
2024-12-03 19:42:47.244830 , 10.5%, 12.34%, 77.6%, 129220608, 23517364224
2024-12-03 19:42:48.810238 , 9.79%, 12.31%, 77.89%, 124600320, 23521640448
2024-12-03 19:42:50.434961 , 13.85%, 13.16%, 72.98%, 95043584, 23460741120
2024-12-03 19:42:52.003342 , 9.93%, 12.43%, 77.62%, 124108800, 23432658944
2024-12-03 19:42:53.584609 , 10.91%, 12.82%, 76.25%, 111017984, 23439671296
2024-12-03 19:42:55.140767 , 9.7%, 12.23%, 78.5%, 115671040, 23522443264
2024-12-03 19:42:56.702828 , 9.99%, 13.37%, 76.63%, 123977728, 23520591872
2024-12-03 19:42:58.274813 , 11.7%, 12.85%, 76.7%, 122404864, 23444193280
2024-12-03 19:42:59.847402 , 10.88%, 12.66%, 76.44%, 125861888, 23436640256
2024-12-03 19:43:01.423498 , 10.18%, 12.89%, 76.92%, 126156800, 23442407424
2024-12-03 19:43:02.994890 , 14.98%, 13.35%, 71.66%, 118718464, 23521640448
2024-12-03 19:43:04.558898 , 10.23%, 12.61%, 77.14%, 109494272, 23526096896
2024-12-03 19:43:06.152960 , 14.92%, 13.31%, 71.75%, 100696064, 23448715264
2024-12-03 19:43:07.719892 , 10.34%, 12.41%, 77.23%, 109182976, 23442685952
2024-12-03 19:43:09.342832 , 17.42%, 14.24%, 68.32%, 100433920, 23447093248
2024-12-03 19:43:10.904135 , 9.64%, 12.31%, 78.4%, 104972288, 23529832448
2024-12-03 19:43:12.470743 , 10.32%, 12.4%, 77.27%, 108986368, 23533879296
2024-12-03 19:43:14.049563 , 11.15%, 12.78%, 76.6%, 86310912, 23448010752
2024-12-03 19:43:15.606203 , 10.39%, 12.49%, 77.11%, 83116032, 23443292160
2024-12-03 19:43:17.155297 , 9.49%, 12.24%, 78.26%, 93732864, 23521083392
2024-12-03 19:43:18.728469 , 10.47%, 12.6%, 76.92%, 88424448, 23526899712
