Label,TodoCount,TimePerTodo
Delete,1,2528.000000
Delete,5,1953.800049
Delete,10,1547.900024
Delete,25,1562.000000
Delete,50,1562.540039
Delete,100,1213.989990
Delete,200,1079.494995
Update_Put_TitleOnly,1,2092.000000
Update_Put_TitleOnly,5,1708.800049
Update_Put_TitleOnly,10,3435.100098
Update_Put_TitleOnly,25,1951.439941
Update_Put_TitleOnly,50,1599.880005
Update_Put_TitleOnly,100,1333.680054
Update_Put_TitleOnly,200,1433.390015
Update_Put_AllFields,1,1642.000000
Update_Put_AllFields,5,1511.400024
Update_Put_AllFields,10,1535.900024
Update_Put_AllFields,25,1336.760010
Update_Put_AllFields,50,1474.719971
Update_Put_AllFields,100,991.630005
Update_Put_AllFields,200,1372.300049
Update_Post_TitleOnly,1,1917.000000
Update_Post_TitleOnly,5,1711.800049
Update_Post_TitleOnly,10,1560.300049
Update_Post_TitleOnly,25,1399.439941
Update_Post_TitleOnly,50,1796.239990
Update_Post_TitleOnly,100,1781.699951
Update_Post_TitleOnly,200,1102.104980
Create_OnlyTitle,1,120376.000000
Create_OnlyTitle,5,9481.400391
Create_OnlyTitle,10,8026.100098
Create_OnlyTitle,25,6953.720215
Create_OnlyTitle,50,5928.799805
Create_OnlyTitle,100,5547.359863
Create_OnlyTitle,200,4686.160156
Update_Post_AllFields,1,1218.000000
Update_Post_AllFields,5,1277.199951
Update_Post_AllFields,10,981.500000
Update_Post_AllFields,25,1132.920044
Update_Post_AllFields,50,1191.060059
Update_Post_AllFields,100,1348.719971
Update_Post_AllFields,200,1303.635010
Create_AllFields,1,6284.000000
Create_AllFields,5,5078.600098
Create_AllFields,10,4152.100098
Create_AllFields,25,4528.560059
Create_AllFields,50,4088.540039
Create_AllFields,100,4157.140137
Create_AllFields,200,3763.300049
