Label,TodoCount,TimePerTodo
Delete,1,2242.000000
Delete,5,1258.000000
Delete,10,1429.800049
Delete,25,1383.119995
Delete,50,1503.260010
Delete,100,1472.989990
Delete,200,1355.020020
Update_Put_TitleOnly,1,2020.000000
Update_Put_TitleOnly,5,1445.400024
Update_Put_TitleOnly,10,1540.500000
Update_Put_TitleOnly,25,1555.479980
Update_Put_TitleOnly,50,1566.579956
Update_Put_TitleOnly,100,1330.819946
Update_Put_TitleOnly,200,1398.265015
Update_Put_AllFields,1,1457.000000
Update_Put_AllFields,5,1389.599976
Update_Put_AllFields,10,1159.699951
Update_Put_AllFields,25,1258.199951
Update_Put_AllFields,50,1522.839966
Update_Put_AllFields,100,1162.750000
Update_Put_AllFields,200,1156.569946
Update_Post_TitleOnly,1,1759.000000
Update_Post_TitleOnly,5,1186.800049
Update_Post_TitleOnly,10,1878.599976
Update_Post_TitleOnly,25,1438.160034
Update_Post_TitleOnly,50,1776.680054
Update_Post_TitleOnly,100,1354.339966
Update_Post_TitleOnly,200,1531.489990
Create_OnlyTitle,1,115422.000000
Create_OnlyTitle,5,8926.799805
Create_OnlyTitle,10,8306.099609
Create_OnlyTitle,25,6926.839844
Create_OnlyTitle,50,6420.240234
Create_OnlyTitle,100,5768.419922
Create_OnlyTitle,200,5573.450195
Update_Post_AllFields,1,2335.000000
Update_Post_AllFields,5,1277.400024
Update_Post_AllFields,10,1351.699951
Update_Post_AllFields,25,1115.640015
Update_Post_AllFields,50,936.900024
Update_Post_AllFields,100,1689.520020
Update_Post_AllFields,200,1213.405029
Create_AllFields,1,4624.000000
Create_AllFields,5,4867.399902
Create_AllFields,10,4062.800049
Create_AllFields,25,4670.120117
Create_AllFields,50,4009.060059
Create_AllFields,100,4050.489990
Create_AllFields,200,4054.104980
