Label,TodoCount,TimePerTodo
Delete,1,5946.000000
Delete,5,2666.199951
Delete,10,2799.300049
Delete,25,1754.680054
Delete,50,1624.719971
Delete,100,1446.109985
Delete,200,1280.650024
Update_Put_TitleOnly,1,7490.000000
Update_Put_TitleOnly,5,5141.799805
Update_Put_TitleOnly,10,2567.500000
Update_Put_TitleOnly,25,1781.439941
Update_Put_TitleOnly,50,1468.660034
Update_Put_TitleOnly,100,1354.099976
Update_Put_TitleOnly,200,1538.569946
Update_Put_AllFields,1,1964.000000
Update_Put_AllFields,5,2454.399902
Update_Put_AllFields,10,3222.300049
Update_Put_AllFields,25,1850.920044
Update_Put_AllFields,50,1429.160034
Update_Put_AllFields,100,1299.430054
Update_Put_AllFields,200,1003.190002
Update_Post_TitleOnly,1,1924.000000
Update_Post_TitleOnly,5,1820.000000
Update_Post_TitleOnly,10,1257.400024
Update_Post_TitleOnly,25,1116.680054
Update_Post_TitleOnly,50,1008.900024
Update_Post_TitleOnly,100,1353.890015
Update_Post_TitleOnly,200,2056.344971
Create_OnlyTitle,1,154205.000000
Create_OnlyTitle,5,11012.799805
Create_OnlyTitle,10,12411.700195
Create_OnlyTitle,25,10030.919922
Create_OnlyTitle,50,8503.740234
Create_OnlyTitle,100,6112.359863
Create_OnlyTitle,200,6793.865234
Update_Post_AllFields,1,1372.000000
Update_Post_AllFields,5,1394.199951
Update_Post_AllFields,10,1199.599976
Update_Post_AllFields,25,1603.719971
Update_Post_AllFields,50,1438.319946
Update_Post_AllFields,100,1213.430054
Update_Post_AllFields,200,1009.525024
Create_AllFields,1,7718.000000
Create_AllFields,5,7804.000000
Create_AllFields,10,6845.399902
Create_AllFields,25,5831.919922
Create_AllFields,50,4972.060059
Create_AllFields,100,5198.680176
Create_AllFields,200,4161.779785
