Label,TodoCount,TimePerTodo
Delete,1,2176.000000
Delete,5,1360.199951
Delete,10,1582.699951
Delete,25,1840.319946
Delete,50,1168.719971
Delete,100,1405.859985
Delete,200,1260.430054
Update_Put_TitleOnly,1,1771.000000
Update_Put_TitleOnly,5,1432.000000
Update_Put_TitleOnly,10,4017.699951
Update_Put_TitleOnly,25,1497.640015
Update_Put_TitleOnly,50,1348.800049
Update_Put_TitleOnly,100,1594.810059
Update_Put_TitleOnly,200,1478.724976
Update_Put_AllFields,1,3987.000000
Update_Put_AllFields,5,4460.799805
Update_Put_AllFields,10,1826.000000
Update_Put_AllFields,25,1047.400024
Update_Put_AllFields,50,1562.839966
Update_Put_AllFields,100,1445.630005
Update_Put_AllFields,200,1370.484985
Update_Post_TitleOnly,1,1268.000000
Update_Post_TitleOnly,5,1262.199951
Update_Post_TitleOnly,10,1634.000000
Update_Post_TitleOnly,25,1508.599976
Update_Post_TitleOnly,50,1206.339966
Update_Post_TitleOnly,100,1214.910034
Update_Post_TitleOnly,200,1123.015015
Create_OnlyTitle,1,107596.000000
Create_OnlyTitle,5,9259.799805
Create_OnlyTitle,10,8300.299805
Create_OnlyTitle,25,6801.759766
Create_OnlyTitle,50,5922.060059
Create_OnlyTitle,100,5100.310059
Create_OnlyTitle,200,4689.535156
Update_Post_AllFields,1,2262.000000
Update_Post_AllFields,5,1535.199951
Update_Post_AllFields,10,1063.699951
Update_Post_AllFields,25,1265.319946
Update_Post_AllFields,50,1137.680054
Update_Post_AllFields,100,1028.310059
Update_Post_AllFields,200,970.869995
Create_AllFields,1,5394.000000
Create_AllFields,5,7849.799805
Create_AllFields,10,4177.100098
Create_AllFields,25,4413.720215
Create_AllFields,50,4001.979980
Create_AllFields,100,4343.740234
Create_AllFields,200,4164.015137
