Label,Average_CPU_Usage_1,Average_CPU_Usage_5,Average_CPU_Usage_10,Average_CPU_Usage_25,Average_CPU_Usage_50,Average_CPU_Usage_100,Average_CPU_Usage_200
Delete,10.53,9.82,10.22,10.66,10.37,15.175,19.98
Update_Put_TitleOnly,9.93,15.44,12.13,11.46,12.86,15.38,13.25
Update_Put_AllFields,10.54,9.84,14.1,11.73,11.24,10.33,18.81
Update_Post_TitleOnly,9.71,11.2,11.4,13.25,13.97,14.9,14.21
Create_OnlyTitle,13.21,9.71,9.95,14.12,11.3,14.419999999999998,21.1
Update_Post_AllFields,10.23,11.27,11.14,10.84,12.25,11.57,13.735
Create_AllFields,10.2,10.89,10.71,12.12,12.87,15.27,16.75
