Label,Average_CPU_Usage_1,Average_CPU_Usage_5,Average_CPU_Usage_10,Average_CPU_Usage_25,Average_CPU_Usage_50,Average_CPU_Usage_100,Average_CPU_Usage_200
Delete,12.88,11.65,12.18,15.63,13.59,11.89,27.76
Update_Put_TitleOnly,12.61,12.57,11.33,14.77,15.88,18.53,19.36
Update_Put_AllFields,10.38,10.12,10.36,9.98,13.64,13.2,19.65
Update_Post_TitleOnly,10.2,10.44,19.21,21.32,23.23,14.94,12.4
Create_OnlyTitle,15.010000000000002,12.77,10.91,14.745,15.55,21.7,20.92
Update_Post_AllFields,10.17,12.76,10.6,10.55,10.28,17.64,18.23
Create_AllFields,11.82,13.57,12.29,10.83,13.875,14.925,20.64
