Label,Average_CPU_Usage_1,Average_CPU_Usage_5,Average_CPU_Usage_10,Average_CPU_Usage_25,Average_CPU_Usage_50,Average_CPU_Usage_100,Average_CPU_Usage_200
Delete,10.2,9.6,11.37,11.9,13.66,14.96,15.145
Update_Put_TitleOnly,9.89,12.71,10.82,12.92,16.38,15.43,18.51
Update_Put_AllFields,10.45,12.8,10.76,10.72,12.57,23.63,19.29
Update_Post_TitleOnly,10.4,10.54,10.39,9.67,13.7,10.68,16.49
Create_OnlyTitle,13.51,10.33,11.43,12.3,14.54,13.74,19.405
Update_Post_AllFields,12.29,12.57,9.64,9.94,13.33,12.27,16.72
Create_AllFields,10.96,10.32,10.2,10.43,10.96,13.235,19.4
