Label,TodoCount,TimeElapsed
Delete,1,2528
Delete,5,9769
Delete,10,15479
Delete,25,39050
Delete,50,78127
Delete,100,121399
Delete,200,215899
Update_Put_TitleOnly,1,2092
Update_Put_TitleOnly,5,8544
Update_Put_TitleOnly,10,34351
Update_Put_TitleOnly,25,48786
Update_Put_TitleOnly,50,79994
Update_Put_TitleOnly,100,133368
Update_Put_TitleOnly,200,286678
Update_Put_AllFields,1,1642
Update_Put_AllFields,5,7557
Update_Put_AllFields,10,15359
Update_Put_AllFields,25,33419
Update_Put_AllFields,50,73736
Update_Put_AllFields,100,99163
Update_Put_AllFields,200,274460
Update_Post_TitleOnly,1,1917
Update_Post_TitleOnly,5,8559
Update_Post_TitleOnly,10,15603
Update_Post_TitleOnly,25,34986
Update_Post_TitleOnly,50,89812
Update_Post_TitleOnly,100,178170
Update_Post_TitleOnly,200,220421
Create_OnlyTitle,1,120376
Create_OnlyTitle,5,47407
Create_OnlyTitle,10,80261
Create_OnlyTitle,25,173843
Create_OnlyTitle,50,296440
Create_OnlyTitle,100,554736
Create_OnlyTitle,200,937232
Update_Post_AllFields,1,1218
Update_Post_AllFields,5,6386
Update_Post_AllFields,10,9815
Update_Post_AllFields,25,28323
Update_Post_AllFields,50,59553
Update_Post_AllFields,100,134872
Update_Post_AllFields,200,260727
Create_AllFields,1,6284
Create_AllFields,5,25393
Create_AllFields,10,41521
Create_AllFields,25,113214
Create_AllFields,50,204427
Create_AllFields,100,415714
Create_AllFields,200,752660
