Label,TodoCount,TimeElapsed
Delete,1,5946
Delete,5,13331
Delete,10,27993
Delete,25,43867
Delete,50,81236
Delete,100,144611
Delete,200,256130
Update_Put_TitleOnly,1,7490
Update_Put_TitleOnly,5,25709
Update_Put_TitleOnly,10,25675
Update_Put_TitleOnly,25,44536
Update_Put_TitleOnly,50,73433
Update_Put_TitleOnly,100,135410
Update_Put_TitleOnly,200,307714
Update_Put_AllFields,1,1964
Update_Put_AllFields,5,12272
Update_Put_AllFields,10,32223
Update_Put_AllFields,25,46273
Update_Put_AllFields,50,71458
Update_Put_AllFields,100,129943
Update_Put_AllFields,200,200638
Update_Post_TitleOnly,1,1924
Update_Post_TitleOnly,5,9100
Update_Post_TitleOnly,10,12574
Update_Post_TitleOnly,25,27917
Update_Post_TitleOnly,50,50445
Update_Post_TitleOnly,100,135389
Update_Post_TitleOnly,200,411269
Create_OnlyTitle,1,154205
Create_OnlyTitle,5,55064
Create_OnlyTitle,10,124117
Create_OnlyTitle,25,250773
Create_OnlyTitle,50,425187
Create_OnlyTitle,100,611236
Create_OnlyTitle,200,1358773
Update_Post_AllFields,1,1372
Update_Post_AllFields,5,6971
Update_Post_AllFields,10,11996
Update_Post_AllFields,25,40093
Update_Post_AllFields,50,71916
Update_Post_AllFields,100,121343
Update_Post_AllFields,200,201905
Create_AllFields,1,7718
Create_AllFields,5,39020
Create_AllFields,10,68454
Create_AllFields,25,145798
Create_AllFields,50,248603
Create_AllFields,100,519868
Create_AllFields,200,832356
