Label,TodoCount,TimeElapsed
Delete,1,2242
Delete,5,6290
Delete,10,14298
Delete,25,34578
Delete,50,75163
Delete,100,147299
Delete,200,271004
Update_Put_TitleOnly,1,2020
Update_Put_TitleOnly,5,7227
Update_Put_TitleOnly,10,15405
Update_Put_TitleOnly,25,38887
Update_Put_TitleOnly,50,78329
Update_Put_TitleOnly,100,133082
Update_Put_TitleOnly,200,279653
Update_Put_AllFields,1,1457
Update_Put_AllFields,5,6948
Update_Put_AllFields,10,11597
Update_Put_AllFields,25,31455
Update_Put_AllFields,50,76142
Update_Put_AllFields,100,116275
Update_Put_AllFields,200,231314
Update_Post_TitleOnly,1,1759
Update_Post_TitleOnly,5,5934
Update_Post_TitleOnly,10,18786
Update_Post_TitleOnly,25,35954
Update_Post_TitleOnly,50,88834
Update_Post_TitleOnly,100,135434
Update_Post_TitleOnly,200,306298
Create_OnlyTitle,1,115422
Create_OnlyTitle,5,44634
Create_OnlyTitle,10,83061
Create_OnlyTitle,25,173171
Create_OnlyTitle,50,321012
Create_OnlyTitle,100,576842
Create_OnlyTitle,200,1114690
Update_Post_AllFields,1,2335
Update_Post_AllFields,5,6387
Update_Post_AllFields,10,13517
Update_Post_AllFields,25,27891
Update_Post_AllFields,50,46845
Update_Post_AllFields,100,168952
Update_Post_AllFields,200,242681
Create_AllFields,1,4624
Create_AllFields,5,24337
Create_AllFields,10,40628
Create_AllFields,25,116753
Create_AllFields,50,200453
Create_AllFields,100,405049
Create_AllFields,200,810821
