time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-12-03 19:24:48.520863 , 15.57%, 15.84%, 68.58%, 952238080, 22806495232
2024-12-03 19:24:50.275315 , 23.61%, 19.41%, 56.97%, 924008448, 22689497088
2024-12-03 19:24:51.900823 , 16.63%, 16.28%, 67.7%, 930021376, 22890725376
2024-12-03 19:24:53.613590 , 40.66%, 16.69%, 42.63%, 724451328, 22982377472
2024-12-03 19:24:55.227765 , 15.1%, 15.91%, 69.7%, 717619200, 22998253568
2024-12-03 19:24:56.815505 , 12.48%, 14.11%, 73.4%, 714342400, 23107305472
2024-12-03 19:24:58.416495 , 11.67%, 13.28%, 75.3%, 701382656, 23118692352
2024-12-03 19:25:00.003412 , 11.6%, 12.61%, 76.32%, 702840832, 23058874368
2024-12-03 19:25:01.587976 , 10.78%, 12.62%, 76.58%, 711262208, 23017504768
2024-12-03 19:25:03.172672 , 14.53%, 13.26%, 72.19%, 707182592, 23093477376
2024-12-03 19:25:04.740143 , 10.0%, 12.36%, 77.62%, 698712064, 23121379328
2024-12-03 19:25:06.330336 , 13.99%, 12.72%, 73.28%, 658915328, 23153426432
2024-12-03 19:25:07.907192 , 10.22%, 12.34%, 77.43%, 663552000, 23029776384
2024-12-03 19:25:09.504057 , 16.32%, 13.3%, 70.63%, 618151936, 23121526784
2024-12-03 19:25:11.103091 , 13.22%, 13.29%, 73.47%, 615514112, 23068196864
2024-12-03 19:25:12.690696 , 12.61%, 12.61%, 74.76%, 602832896, 23129554944
2024-12-03 19:25:14.299322 , 16.17%, 13.52%, 70.29%, 582336512, 23007084544
2024-12-03 19:25:15.874174 , 9.93%, 12.34%, 77.71%, 587202560, 23138975744
2024-12-03 19:25:17.527909 , 25.4%, 13.7%, 60.88%, 575750144, 23109976064
2024-12-03 19:25:19.110933 , 10.55%, 12.4%, 77.3%, 564723712, 23169875968
2024-12-03 19:25:20.690016 , 12.27%, 12.56%, 75.15%, 564674560, 23091675136
2024-12-03 19:25:22.275578 , 11.5%, 12.77%, 75.72%, 573833216, 23109664768
2024-12-03 19:25:23.853400 , 10.61%, 12.59%, 76.78%, 566722560, 23124623360
2024-12-03 19:25:25.433347 , 10.75%, 12.88%, 76.36%, 565673984, 23079288832
2024-12-03 19:25:27.008687 , 10.23%, 13.36%, 76.4%, 578240512, 23192403968
2024-12-03 19:25:28.578523 , 10.12%, 12.61%, 77.26%, 557105152, 23199383552
2024-12-03 19:25:30.158104 , 11.2%, 12.51%, 76.45%, 559513600, 23114940416
2024-12-03 19:25:31.716858 , 10.35%, 12.36%, 77.28%, 651001856, 23076814848
2024-12-03 19:25:33.295466 , 11.79%, 12.79%, 75.4%, 643874816, 23084105728
2024-12-03 19:25:34.856729 , 9.91%, 12.57%, 77.51%, 640253952, 23158226944
2024-12-03 19:25:36.427933 , 13.25%, 12.68%, 74.5%, 638681088, 23159160832
2024-12-03 19:25:37.991234 , 10.6%, 12.48%, 76.91%, 649674752, 23075553280
2024-12-03 19:25:39.594193 , 16.25%, 13.18%, 70.55%, 632078336, 23082024960
2024-12-03 19:25:41.153867 , 10.35%, 12.44%, 77.19%, 628850688, 23165190144
2024-12-03 19:25:42.779443 , 24.1%, 13.97%, 62.0%, 609189888, 23179165696
2024-12-03 19:25:44.349607 , 10.85%, 12.71%, 76.42%, 621805568, 23167025152
2024-12-03 19:25:45.912713 , 10.53%, 12.6%, 76.86%, 635174912, 23080992768
2024-12-03 19:25:47.476648 , 9.95%, 12.46%, 77.57%, 637468672, 23078060032
2024-12-03 19:25:49.036666 , 9.75%, 12.42%, 77.81%, 635944960, 23163076608
2024-12-03 19:25:50.646307 , 13.12%, 13.26%, 73.61%, 592297984, 23154130944
2024-12-03 19:25:52.220231 , 11.66%, 12.66%, 75.67%, 569376768, 23136305152
2024-12-03 19:25:53.782674 , 10.11%, 12.41%, 77.47%, 575569920, 23111041024
2024-12-03 19:25:55.355848 , 13.24%, 13.31%, 73.43%, 528449536, 23130587136
2024-12-03 19:25:56.918749 , 10.33%, 13.56%, 76.9%, 537001984, 23214702592
2024-12-03 19:25:58.494789 , 11.7%, 12.56%, 75.73%, 531267584, 23216242688
2024-12-03 19:26:00.061285 , 10.19%, 12.49%, 77.31%, 505004032, 23035363328
2024-12-03 19:26:01.653047 , 13.62%, 13.69%, 72.68%, 515670016, 22672408576
2024-12-03 19:26:03.232955 , 12.62%, 13.19%, 74.17%, 515457024, 23194238976
2024-12-03 19:26:04.823215 , 15.78%, 13.33%, 70.87%, 501694464, 23219126272
2024-12-03 19:26:06.381323 , 9.92%, 12.37%, 77.69%, 515457024, 23224156160
2024-12-03 19:26:07.961996 , 11.61%, 12.61%, 75.76%, 508887040, 23148838912
2024-12-03 19:26:09.575116 , 20.13%, 13.97%, 65.88%, 445661184, 23176593408
2024-12-03 19:26:11.155089 , 12.33%, 12.62%, 75.3%, 444448768, 23164895232
2024-12-03 19:26:12.731230 , 10.8%, 13.0%, 76.19%, 437534720, 23117922304
2024-12-03 19:26:14.302961 , 10.62%, 12.84%, 76.52%, 472252416, 23100325888
2024-12-03 19:26:15.881837 , 11.91%, 13.4%, 75.3%, 420298752, 23174889472
2024-12-03 19:26:17.442203 , 10.29%, 12.88%, 76.81%, 432750592, 23182966784
2024-12-03 19:26:19.002452 , 10.63%, 12.35%, 77.1%, 420839424, 23269539840
2024-12-03 19:26:20.564387 , 10.3%, 12.61%, 77.34%, 426803200, 23267524608
2024-12-03 19:26:22.150195 , 15.1%, 13.45%, 71.52%, 426295296, 23077715968
2024-12-03 19:26:23.714419 , 10.25%, 12.47%, 77.27%, 432504832, 23161241600
2024-12-03 19:26:25.295779 , 12.74%, 13.38%, 73.86%, 430080000, 23175217152
2024-12-03 19:26:26.852202 , 9.32%, 12.94%, 77.72%, 432848896, 23259856896
2024-12-03 19:26:28.441125 , 13.89%, 12.97%, 73.13%, 426295296, 23266902016
2024-12-03 19:26:30.000378 , 10.7%, 12.51%, 77.41%, 423821312, 23174774784
2024-12-03 19:26:31.599050 , 16.69%, 13.39%, 69.91%, 430129152, 23175823360
2024-12-03 19:26:33.157801 , 10.27%, 12.42%, 77.29%, 441204736, 23256432640
2024-12-03 19:26:34.785046 , 20.61%, 14.43%, 64.94%, 420659200, 23267704832
2024-12-03 19:26:36.343749 , 10.3%, 12.46%, 77.23%, 491929600, 23164698624
2024-12-03 19:26:37.902555 , 10.43%, 12.45%, 77.1%, 488603648, 23148740608
