time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-11-30 00:36:32.596720 , 19.88%, 19.0%, 61.11%, 860094464, 29822189568
2024-11-30 00:36:33.761113 , 12.2%, 14.22%, 73.74%, 954155008, 30035247104
2024-11-30 00:36:34.923609 , 11.11%, 13.61%, 75.27%, 960905216, 30041964544
2024-11-30 00:36:36.090604 , 11.65%, 15.93%, 72.41%, 957644800, 29908516864
2024-11-30 00:36:37.280242 , 18.23%, 14.41%, 67.35%, 919453696, 30073421824
2024-11-30 00:36:38.440946 , 9.31%, 12.92%, 77.75%, 901185536, 30087659520
2024-11-30 00:36:39.611900 , 12.11%, 13.31%, 74.57%, 968687616, 30007164928
2024-11-30 00:36:40.826768 , 39.73%, 16.33%, 43.93%, 837992448, 30072373248
2024-11-30 00:36:42.017897 , 30.92%, 15.21%, 53.85%, 669483008, 30221008896
2024-11-30 00:36:43.172507 , 11.91%, 13.23%, 74.84%, 665649152, 30279073792
2024-11-30 00:36:44.322548 , 11.2%, 12.83%, 75.96%, 675643392, 30308958208
2024-11-30 00:36:45.480468 , 11.98%, 12.99%, 75.2%, 669745152, 30372855808
2024-11-30 00:36:46.626288 , 9.95%, 13.0%, 77.3%, 661716992, 30268080128
2024-11-30 00:36:47.785096 , 11.1%, 12.32%, 76.66%, 659619840, 30362648576
2024-11-30 00:36:48.920216 , 7.69%, 11.89%, 80.41%, 664977408, 30286577664
2024-11-30 00:36:50.051561 , 7.54%, 12.29%, 80.16%, 650919936, 30278565888
2024-11-30 00:36:51.206721 , 11.7%, 12.31%, 75.98%, 639664128, 30382833664
2024-11-30 00:36:52.354604 , 10.75%, 12.67%, 76.57%, 639074304, 30272667648
2024-11-30 00:36:53.491835 , 9.74%, 12.1%, 78.15%, 641368064, 30380408832
2024-11-30 00:36:54.664168 , 16.61%, 13.11%, 70.27%, 595083264, 30322655232
2024-11-30 00:36:55.807447 , 7.3%, 11.82%, 81.14%, 623312896, 30388862976
2024-11-30 00:36:56.961567 , 7.29%, 11.55%, 81.15%, 621346816, 30296227840
2024-11-30 00:36:58.143369 , 22.46%, 13.2%, 64.33%, 1150861312, 30063427584
2024-11-30 00:36:59.283344 , 7.7%, 11.48%, 81.43%, 1152745472, 30125277184
2024-11-30 00:37:00.461834 , 10.23%, 12.3%, 77.46%, 1135935488, 30052286464
2024-11-30 00:37:01.649852 , 25.73%, 13.6%, 60.66%, 1126023168, 30101323776
