time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-11-30 20:11:05.496266 , 14.94%, 15.52%, 69.52%, 509296640, 29846388736
2024-11-30 20:11:06.786352 , 27.65%, 15.78%, 56.55%, 570146816, 29895884800
2024-11-30 20:11:07.992856 , 14.76%, 13.7%, 71.52%, 652296192, 29961355264
2024-11-30 20:11:09.248045 , 41.8%, 16.34%, 42.56%, 383123456, 30156783616
2024-11-30 20:11:10.457259 , 18.12%, 13.9%, 67.97%, 227639296, 30245961728
2024-11-30 20:11:11.634996 , 9.87%, 14.41%, 75.71%, 213647360, 30460231680
2024-11-30 20:11:12.814407 , 7.77%, 11.12%, 81.1%, 211189760, 30402265088
2024-11-30 20:11:13.984221 , 7.2%, 11.57%, 81.4%, 219889664, 30388666368
2024-11-30 20:11:15.153658 , 5.66%, 10.83%, 83.49%, 218857472, 30415781888
2024-11-30 20:11:16.326449 , 10.56%, 11.25%, 78.18%, 219070464, 30396399616
2024-11-30 20:11:17.494817 , 5.75%, 11.1%, 83.23%, 218841088, 30413094912
2024-11-30 20:11:18.669321 , 7.29%, 11.33%, 81.37%, 219168768, 30371725312
2024-11-30 20:11:19.854537 , 11.45%, 11.55%, 76.98%, 203390976, 30371102720
2024-11-30 20:11:21.027896 , 5.94%, 10.99%, 83.6%, 208175104, 30453956608
2024-11-30 20:11:22.223356 , 11.58%, 11.97%, 76.43%, 185942016, 30416764928
2024-11-30 20:11:23.395134 , 6.7%, 11.34%, 81.95%, 159154176, 30439981056
2024-11-30 20:11:24.598659 , 12.4%, 12.62%, 75.33%, 109887488, 30417616896
2024-11-30 20:11:25.818095 , 19.5%, 12.17%, 68.31%, 108347392, 30455300096
2024-11-30 20:11:26.979021 , 13.74%, 11.85%, 74.4%, 112558080, 30464999424
2024-11-30 20:11:28.153438 , 6.56%, 11.34%, 82.8%, 111738880, 30483628032
2024-11-30 20:11:29.361987 , 18.88%, 12.23%, 68.88%, 115294208, 30474731520
2024-11-30 20:11:30.541970 , 13.7%, 12.38%, 74.53%, 119865344, 30478417920
2024-11-30 20:11:31.708865 , 5.68%, 12.87%, 81.43%, 120995840, 30480236544
2024-11-30 20:11:32.904377 , 8.6%, 11.17%, 80.75%, 121339904, 30475747328
2024-11-30 20:11:34.138932 , 11.52%, 13.52%, 74.95%, 123928576, 30190403584
