time, user cpu usage, system cpu usage, idle cpu percentage, bytes available, bytes active
2024-11-29 22:59:00.493789 , 20.27%, 16.32%, 63.4%, 2038677504, 29564715008
2024-11-29 22:59:02.353732 , 48.95%, 17.8%, 33.23%, 2016198656, 29383999488
2024-11-29 22:59:04.022778 , 29.9%, 15.58%, 54.5%, 2068021248, 29469163520
2024-11-29 22:59:05.512800 , 16.3%, 16.1%, 67.59%, 2188918784, 29357637632
2024-11-29 22:59:07.036843 , 50.63%, 17.95%, 31.41%, 1935360000, 29555556352
2024-11-29 22:59:08.495282 , 12.91%, 13.94%, 73.14%, 1836400640, 29753278464
2024-11-29 22:59:09.957138 , 9.71%, 13.19%, 77.9%, 1842216960, 29747445760
2024-11-29 22:59:11.413308 , 8.89%, 12.16%, 78.93%, 1840037888, 29852565504
2024-11-29 22:59:12.898736 , 10.1%, 12.21%, 77.77%, 1813151744, 29621059584
2024-11-29 22:59:14.390050 , 13.78%, 13.98%, 72.22%, 1761918976, 29466050560
2024-11-29 22:59:15.835448 , 8.5%, 12.6%, 79.33%, 1761296384, 29708926976
2024-11-29 22:59:17.276200 , 11.74%, 12.15%, 76.1%, 1792884736, 29880614912
2024-11-29 22:59:18.702034 , 7.25%, 11.56%, 81.17%, 1793523712, 29762977792
2024-11-29 22:59:20.146104 , 10.33%, 12.5%, 77.16%, 1772290048, 29788798976
2024-11-29 22:59:21.560030 , 7.45%, 12.39%, 80.14%, 1685913600, 29876305920
2024-11-29 22:59:22.990966 , 6.97%, 11.86%, 81.16%, 1715322880, 29771579392
2024-11-29 22:59:24.441954 , 23.47%, 13.51%, 63.0%, 1694908416, 29799743488
2024-11-29 22:59:25.879737 , 7.73%, 12.38%, 79.87%, 1703723008, 29778182144
2024-11-29 22:59:27.338647 , 16.4%, 12.99%, 70.96%, 1678082048, 29883236352
2024-11-29 22:59:28.754688 , 9.46%, 12.3%, 78.23%, 1675132928, 29783588864
2024-11-29 22:59:30.193370 , 7.95%, 12.19%, 79.85%, 1690009600, 29773479936
