Label,AverageBytesAvailable_1,AverageBytesAvailable_5,AverageBytesAvailable_10,AverageBytesAvailable_25,AverageBytesAvailable_50,AverageBytesAvailable_100,AverageBytesAvailable_200
Delete,1.22994688E8,1.12820224E8,1.76029696E8,1.27369216E8,1.14475008E8,1.13229824E8,8.6695936E7
Update_Put_TitleOnly,1.32317184E8,1.3262848E8,1.4442496E8,1.24305408E8,1.27942656E8,1.3582336E8,1.35348224E8
Update_Put_AllFields,1.32513792E8,1.15605504E8,1.0993664E8,1.14098176E8,1.06807296E8,1.02449152E8,1.1485184E8
Update_Post_TitleOnly,1.2460032E8,1.241088E8,1.1567104E8,1.22404864E8,1.261568E8,1.09494272E8,1.0043392E8
Create_OnlyTitle,6.5634304E7,6.5077248E7,7.7627392E7,9.2438528E7,6.6617344E7,7.6120064E7,7.3555968E7
Update_Post_AllFields,8.3116032E7,8.8424448E7,9.8516992E7,9.0324992E7,8.265728E7,7.307264E7,7.5350016E7
Create_AllFields,9.2553216E7,8.6573056E7,9.0947584E7,8.1985536E7,1.01146624E8,1.55492352E8,1.35151616E8
