Label,AverageBytesAvailable_1,AverageBytesAvailable_5,AverageBytesAvailable_10,AverageBytesAvailable_25,AverageBytesAvailable_50,AverageBytesAvailable_100,AverageBytesAvailable_200
Delete,1.135542272E9,1.146929152E9,1.145143296E9,1.140195328E9,1.1194368E9,1.115643904E9,1.09256704E9
Update_Put_TitleOnly,1.093337088E9,1.117765632E9,1.114341376E9,1.099726848E9,1.093369856E9,1.088864256E9,1.088897024E9
Update_Put_AllFields,1.090977792E9,1.08716032E9,1.09051904E9,1.106771968E9,1.096081408E9,1.080721408E9,8.26032128E8
Update_Post_TitleOnly,8.24590336E8,8.2255872E8,8.16693248E8,8.01325056E8,8.04192256E8,7.41146624E8,7.33626368E8
Create_OnlyTitle,7.53737728E8,6.75643392E8,6.5961984E8,6.39664128E8,6.18225664E8,8.86104064E8,1.130979328E9
Update_Post_AllFields,7.08411392E8,6.8591616E8,6.81541632E8,6.82344448E8,6.83556864E8,6.82278912E8,6.82819584E8
Create_AllFields,1.139081216E9,1.151270912E9,1.151041536E9,1.143046144E9,1.143095296E9,1.151123456E9,1.147707392E9
