Label,AverageBytesAvailable_1,AverageBytesAvailable_5,AverageBytesAvailable_10,AverageBytesAvailable_25,AverageBytesAvailable_50,AverageBytesAvailable_100,AverageBytesAvailable_200
Delete,1.26304256E8,1.28024576E8,1.2771328E8,1.15032064E8,1.26582784E8,1.19422976E8,1.22847232E8
Update_Put_TitleOnly,1.38084352E8,1.81796864E8,1.114112E8,1.15703808E8,5.6639488E7,6.2734336E7,4.7726592E7
Update_Put_AllFields,7.0746112E7,7.3695232E7,7.8856192E7,9.6387072E7,4.292608E7,7.3662464E7,7.8741504E7
Update_Post_TitleOnly,1.18194176E8,1.17587968E8,1.04513536E8,1.1264E8,1.03235584E8,1.0027008E8,9.0980352E7
Create_OnlyTitle,7.3269248E7,8.3542016E7,9.9827712E7,9.6600064E7,7.6251136E7,5.545984E7,7.9847424E7
Update_Post_AllFields,8.5590016E7,8.56064E7,9.1291648E7,1.20848384E8,6.3602688E7,7.8979072E7,6.1915136E7
Create_AllFields,8.8604672E7,9.838592E7,1.00204544E8,8.454144E7,7.1254016E7,7.6939264E7,6.3275008E7
