Label,AverageBytesAvailable_1,AverageBytesAvailable_5,AverageBytesAvailable_10,AverageBytesAvailable_25,AverageBytesAvailable_50,AverageBytesAvailable_100,AverageBytesAvailable_200
Delete,1.39116544E8,1.45965056E8,1.37592832E8,1.39034624E8,1.4508032E8,1.17456896E8,1.79372032E8
Update_Put_TitleOnly,1.62299904E8,8.9604096E7,9.0472448E7,9.248768E7,9.8041856E7,7.4399744E7,6.029312E7
Update_Put_AllFields,6.832128E7,8.0265216E7,7.2761344E7,1.1149312E8,5.1511296E7,6.291456E7,6.3062016E7
Update_Post_TitleOnly,7.6890112E7,8.3542016E7,7.1319552E7,7.7840384E7,9.6026624E7,7.53664E7,4.0976384E7
Create_OnlyTitle,7.8381056E7,5.7540608E7,6.2291968E7,2.03014144E8,1.98115328E8,1.41541376E8,1.11837184E8
Update_Post_AllFields,5.5296E7,4.7415296E7,5.5738368E7,9.4093312E7,9.5485952E7,9.9057664E7,9.2102656E7
Create_AllFields,8.5082112E7,8.454144E7,7.6546048E7,7.266304E7,1.01548032E8,8.6802432E7,9.7599488E7
