Label,AverageBytesAvailable_1,AverageBytesAvailable_5,AverageBytesAvailable_10,AverageBytesAvailable_25,AverageBytesAvailable_50,AverageBytesAvailable_100,AverageBytesAvailable_200
Delete,6.3594496E8,5.69376768E8,5.28449536E8,5.31267584E8,5.15670016E8,5.01694464E8,5.0888704E8
Update_Put_TitleOnly,4.72252416E8,4.32750592E8,4.268032E8,4.32504832E8,4.32848896E8,4.23821312E8,4.206592E8
Update_Put_AllFields,4.83753984E8,4.63962112E8,4.81869824E8,4.22756352E8,4.39844864E8,4.74267648E8,4.60095488E8
Update_Post_TitleOnly,3.4512896E8,3.42196224E8,3.90643712E8,3.09919744E8,2.73563648E8,2.20626944E8,7.6775424E7
Create_OnlyTitle,7.143424E8,7.02840832E8,7.07182592E8,6.58915328E8,6.18151936E8,6.02832896E8,5.81476352E8
Update_Post_AllFields,8.5983232E7,7.7955072E7,7.2220672E7,7.839744E7,7.446528E7,9.216E7,6.0243968E7
Create_AllFields,5.73833216E8,5.65673984E8,5.57105152E8,6.51001856E8,6.40253952E8,6.40876544E8,6.19020288E8
